t,cam,fps,bad_frames,kills,respawns,alive
1789802849,2,0.0,0,124,169,False
1789802854,1,15.2,0,5,5,True
1789802854,2,0.0,0,125,170,False
1789802859,1,15.2,0,5,5,True
1789802859,2,0.0,0,125,170,False
1789802864,1,15.0,0,5,5,True
1789802864,2,0.0,0,126,171,False
1789802870,1,15.4,0,5,5,True
1789802870,2,0.0,0,126,172,True
1789802875,1,15.2,0,5,5,True
1789802875,2,0.0,0,127,172,False
1789802880,1,15.2,0,5,5,True
1789802880,2,0.0,0,127,173,False
1789802885,1,15.2,0,5,5,True
1789802885,2,0.0,0,127,173,False
1789802890,1,15.0,0,5,5,True
1789802890,2,0.0,0,127,174,False
1789802895,1,15.2,0,5,5,True
1789802895,2,0.0,0,127,174,False
1789802900,1,15.2,0,5,5,True
1789802900,2,0.0,0,128,175,False
1789802905,1,15.2,0,5,5,True
1789802905,2,0.0,0,128,175,False
1789802910,1,15.2,0,5,5,True
1789802910,2,0.0,0,128,176,False
1789802915,1,14.6,0,5,5,True
1789802915,2,0.0,0,128,177,True
1789802920,1,15.8,0,5,5,True
1789802920,2,0.0,0,129,177,False
1789802925,1,15.2,0,5,5,True
1789802925,2,0.0,0,130,178,False
1789802930,1,15.2,0,5,5,True
1789802930,2,0.0,0,130,178,False
1789802935,1,15.0,0,5,5,True
1789802935,2,0.0,0,131,179,False
1789802940,1,15.2,0,5,5,True
1789802940,2,0.0,0,131,179,False
1789802945,1,15.2,0,5,5,True
1789802945,2,0.0,0,132,180,False
1789802950,1,15.0,0,5,5,True
1789802950,2,0.0,0,132,180,False
1789802955,1,15.2,0,5,5,True
1789802955,2,0.0,0,132,181,False
1789802960,1,15.2,0,5,5,True
1789802960,2,0.0,0,133,182,False
1789802965,1,15.0,0,5,5,True
1789802965,2,0.0,0,133,182,False
1789802970,1,15.2,0,5,5,True
1789802970,2,0.0,0,133,183,False
1789802975,1,15.2,0,5,5,True
1789802975,2,0.0,0,133,183,False
1789802980,1,15.2,0,5,5,True
1789802980,2,0.0,0,134,184,False
1789802985,1,15.0,0,5,5,True
1789802985,2,0.0,0,134,184,False
1789802990,1,15.2,0,5,5,True
1789802990,2,0.0,0,134,185,False
1789802995,1,15.2,0,5,5,True
1789802995,2,0.0,0,135,186,False
1789803000,1,15.2,0,5,5,True
1789803000,2,0.0,0,135,186,False
1789803005,1,15.0,0,5,5,True
1789803005,2,0.0,0,136,187,False
1789803010,1,15.2,0,5,5,True
1789803010,2,0.0,0,136,187,False
1789803015,1,15.2,0,5,5,True
1789803015,2,0.0,0,136,188,False
1789803020,1,15.2,0,5,5,True
1789803020,2,0.0,0,136,189,True
1789803025,1,15.2,0,5,5,True
1789803025,2,0.0,0,137,189,False
1789803030,1,15.2,0,5,5,True
1789803030,2,0.0,0,137,190,True
1789803035,1,15.2,0,5,5,True
1789803035,2,24.2,0,137,190,True
1789803040,1,15.2,0,5,5,True
1789803040,2,26.0,0,137,190,True
1789803045,1,15.2,0,5,5,True
1789803045,2,24.0,0,137,190,True
1789803050,1,15.0,0,5,5,True
1789803050,2,25.4,0,137,190,True
1789803055,1,15.2,0,5,5,True
1789803055,2,25.8,0,137,190,True
1789803060,1,15.2,0,5,5,True
1789803060,2,25.6,0,137,190,True
1789803066,1,15.2,0,5,5,True
1789803066,2,25.8,0,137,190,True
1789803071,1,15.2,0,5,5,True
1789803071,2,26.2,0,137,190,True
1789803076,1,15.2,0,5,5,True
1789803076,2,25.8,0,137,190,True
1789803081,1,15.2,0,5,5,True
1789803081,2,26.0,0,137,190,True
1789803086,1,15.2,0,5,5,True
1789803086,2,25.8,0,137,190,True
1789803091,1,15.2,0,5,5,True
1789803091,2,25.8,0,137,190,True
1789803096,1,15.2,0,5,5,True
1789803096,2,26.0,0,137,190,True
1789803101,1,15.2,0,5,5,True
